backend_converter.convert_to_target:INFO:2025-06-29 04:25:21,086: Gate rzz is found but the fractional gates are disabled for this backend. This gate is excluded from the backend Target.
backend_converter.convert_to_target:INFO:2025-06-29 04:25:21,087: Gate rx is found but the fractional gates are disabled for this backend. This gate is excluded from the backend Target.
base_primitive._run:INFO:2025-06-29 04:25:27,873: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:30:13,031: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:30:19,520: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:30:26,064: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:30:33,303: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:30:39,774: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:30:45,985: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:30:53,185: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:30:59,522: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:31:06,014: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:31:12,171: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:31:18,393: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:31:24,447: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:31:30,957: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:31:37,039: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:31:43,361: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:31:49,968: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:31:56,770: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:32:03,163: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:32:09,971: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
base_primitive._run:INFO:2025-06-29 04:32:16,503: Submitting job using options {'options': {'default_shots': 1000, 'seed_estimator': 42, 'dynamical_decoupling': {'enable': True}}, 'version': 2, 'support_qiskit': True, 'resilience_level': 0}
